,title,exact_tc_energy,truncated_tc_energy,exact_xtc_energy,truncated_xtc_energy,exact_tc_cond,truncated_tc_cond,exact_xtc_cond,truncated_xtc_cond,cutoff,xtc_cutoff,exact_tc_terms,truncated_tc_terms,exact_xtc_terms,truncated_xtc_terms,exact_tc_norm,truncated_tc_norm,exact_xtc_norm,truncated_xtc_norm,truncated_tc_gates,truncated_xtc_gates,truncated_tc_qubits,truncated_xtc_qubits,truncated_tc_gates_qroam,truncated_xtc_gates_qroam,truncated_tc_qubits_qroam,truncated_xtc_qubits_qroam
0,qubit_tc_Be_vmc_gpcc_1e6_1.data,-14.673004980422652,-14.67300498042245,-14.672850428150873,-14.672850428150873,4.003044339297038,4.292098290064251,5.764744990375021,5.764744990375021,1.8162538229125947e-07,3.5782175473235614e-07,923,911,295,295,12.18867307913206,12.18867307913214,12.006505737287478,12.006505737287522,903009217427567.0,583132617132313.4,121.0,115.0,594662241197463.8,491234098528084.94,275.0,263.0
1,qubit_tc_Be_vmc_gpcc_1e6_2.data,-14.67289010162578,-14.67289010162578,-14.672710286195668,-14.672710286195668,7.900783198671542,7.900783198671542,19.114326806582337,19.114326806582337,9.082477815160299e-08,8.944630397214586e-08,911,911,295,295,12.190295369612313,12.190295369612192,12.005279697138803,12.005279697138793,1783321963870914.0,1938630374590761.5,123.0,119.0,1177914707346566.5,1649283430982985.2,283.0,279.0
2,qubit_tc_Be_vmc_gpcc_1e6_3.data,-14.674393860927374,-14.674393860927374,-14.674235178804732,-14.674235178804732,7.540990045413397,7.540990045413397,7.390643328214277,7.390643328214277,9.07300583493822e-08,3.5734769085629773e-07,959,959,295,295,12.177582292961487,12.177582292961509,11.990598793194575,11.990598793194664,1774883631835922.8,747600317701598.1,123.0,115.0,1160678564080238.2,629782586903599.4,283.0,263.0
3,qubit_tc_Be_vmc_gpcc_1e6_4.data,-14.678553384148085,-14.678553384148085,-14.678357344618593,-14.678357344618593,5.1830720813913596,5.1830720813913596,6.244038991260924,6.244038991260924,9.063969012121103e-08,3.5719351672597884e-07,959,959,295,295,12.16545327469292,12.16545327469299,11.98542556782274,11.98542556782272,1219912736190724.5,631615588292193.1,123.0,115.0,797757406484403.4,532076417979892.75,283.0,263.0
4,qubit_tc_Be_vmc_gpcc_1e6_5.data,-14.67382826467589,-14.673828264675832,-14.67364589319265,-14.67364589319265,12.044026244571583,7.33963233401806,6.050162315389343,6.050162315389343,4.539139166597313e-08,3.579126427295435e-07,1055,959,295,295,12.184658920330167,12.184658920330097,12.009555432408787,12.009555432408762,2836353298186294.0,612003998605109.1,125.0,115.0,1860221373962669.2,515555507817099.6,291.0,263.0
5,qubit_tc_Be_vmc_gpcc_1e6_6.data,-14.672619536117635,-14.672619536117635,-14.672473453238704,-14.672473453238704,4.848309415669467,4.848309415669467,7.92596840512995,7.92596840512995,9.083707710523344e-08,1.78917206605295e-07,959,959,295,295,12.191946107225222,12.191946107225249,12.006930485334628,12.006930485334644,1141121387526773.8,802812888933003.5,123.0,117.0,746232096436542.4,679646623080808.6,283.0,271.0
6,qubit_tc_Be_vmc_gpcc_1e6_7.data,-14.673122068708786,-14.673122068708786,-14.672949679379938,-14.672949679379938,7.0657190526278875,7.0657190526278875,6.953090825946488,6.953090825946488,9.088240696449054e-08,3.5807402171682683e-07,911,911,295,295,12.198030177945354,12.198030177945297,12.014970412663779,12.01497041266379,1594835810608139.5,703339706658747.9,123.0,115.0,1053416374147395.4,592497206653632.2,283.0,263.0
7,qubit_tc_Be_vmc_gpcc_1e6_8.data,-14.674450369611518,-14.67445036961162,-14.674287461478682,-14.674287461478682,5.873107062829308,5.596656370129497,7.10034962699011,7.10034962699011,9.075218803305055e-08,3.5763989129994913e-07,1055,959,295,295,12.180552488824864,12.180552488824834,12.000403413111481,12.000403413111535,1382322683236514.2,718235666530642.9,123.0,115.0,903964788618220.5,605045644529335.2,283.0,263.0
8,qubit_tc_Be_vmc_gpcc_1e6_9.data,-14.674674437297089,-14.674674437297089,-14.674522042953871,-14.674522042953871,8.628412219868759,8.628412219868759,12.886221645828105,12.886221645828105,9.089656545513296e-08,1.7899991945930721e-07,959,959,295,295,12.199930498391149,12.199930498391232,12.012481251005637,12.012481251005601,2030824537037110.2,1305231650964252.0,123.0,117.0,1328050169187120.2,1104985104430819.2,283.0,271.0
9,qubit_tc_Be_vmc_gpcc_1e6_10.data,-14.675501638625207,-14.675501638625207,-14.675328977533784,-14.675328977533784,4.533109410623624,4.533109410623624,5.311098565587718,5.311098565587718,1.8161368403969159e-07,3.577981341776374e-07,959,959,295,295,12.187888022758715,12.187888022758633,12.0057131629904,12.00571316299041,1066327136467534.2,537244025810301.1,121.0,115.0,695288735038793.0,452577298807897.8,275.0,263.0
