,title,exact_tc_energy,truncated_tc_energy,exact_xtc_energy,truncated_xtc_energy,exact_tc_cond,truncated_tc_cond,exact_xtc_cond,truncated_xtc_cond,cutoff,xtc_cutoff,exact_tc_terms,truncated_tc_terms,exact_xtc_terms,truncated_xtc_terms,exact_tc_norm,truncated_tc_norm,exact_xtc_norm,truncated_xtc_norm,truncated_tc_gates,truncated_xtc_gates,truncated_tc_qubits,truncated_xtc_qubits,truncated_tc_gates_qroam,truncated_xtc_gates_qroam,truncated_tc_qubits_qroam,truncated_xtc_qubits_qroam
0,qubit_tc_N_vmc_gpcc_again_1.data,-54.49288437459833,-54.49288437459842,-54.49288437459772,-54.49288437459772,6.592537960118225,5.161588166931115,5.26548653705107,5.26548653705107,7.020967388025548e-08,2.8028920207168614e-07,983,959,295,295,37.69353164731561,37.69353164731534,37.619779884994585,37.61977988499461,6420327687156082.0,2301221276981291.0,129.0,121.0,4293704374491231.5,1982391856197513.0,301.0,281.0
1,qubit_tc_N_vmc_gpcc_again_2.data,-54.49621335474771,-54.49621335474771,-54.496213354746956,-54.496213354746956,9.331158639024622,9.331158639024622,3.408483221812524,3.408483221812524,7.022461904659337e-08,5.606343295308005e-07,959,959,295,295,37.70155527239683,37.70155527239715,37.62353297421347,37.623532974213674,9087410118196892.0,1487812574227048.5,129.0,119.0,6077361542675618.0,1275946904725367.8,301.0,273.0
2,qubit_tc_N_vmc_gpcc_again_3.data,-54.49800588412389,-54.49800588412389,-54.49800588412243,-54.49800588412243,4.503092463596303,4.503092463596303,6.897965707215442,6.897965707215442,1.404659047854959e-07,2.803773682547751e-07,959,959,295,295,37.706029203547075,37.706029203547175,37.63161334977518,37.631613349775236,4383049712619907.5,3014677815931051.0,127.0,121.0,2923201578054997.5,2597000475851939.5,293.0,281.0
3,qubit_tc_N_vmc_gpcc_again_4.data,-54.49833383254661,-54.49833383254661,-54.498333832547445,-54.498333832547445,10.956123425766378,10.956123425766378,8.172791196528184,8.172791196528184,7.022768464415706e-08,2.803126637991018e-07,959,959,295,295,37.70320110255685,37.703201102556996,37.62292886474331,37.622928864743294,1.066992757567463e+16,3571825862897202.0,129.0,121.0,7135697263370076.0,3076956819924551.5,301.0,281.0
4,qubit_tc_N_vmc_gpcc_again_5.data,-54.492070163093274,-54.4920701190074,-54.4920701190086,-54.4920701190086,5.456201775340591,5.965130534864689,6.064915337775498,6.064915337775498,1.4051135507501308e-07,2.804990307852967e-07,939,935,295,295,37.71822967273887,37.71822967273905,37.64794261820457,37.64794261820458,5205444759376305.0,2650602583478561.0,127.0,121.0,3489236594447821.0,2283367109484060.5,293.0,281.0
5,qubit_tc_N_vmc_gpcc_again_6.data,-54.50213108773688,-54.502131087736714,-54.50213108773683,-54.50213108773683,5.973541949004586,9.246079946566454,3.718232201967986,3.718232201967986,7.02295631479785e-08,5.606464034033039e-07,1055,959,295,295,37.704209616617675,37.70420961661681,37.624343238081515,37.62434323808146,5817501089503726.0,1623018880827037.0,129.0,119.0,3890553737090337.0,1391899727946552.2,301.0,273.0
6,qubit_tc_N_vmc_gpcc_again_7.data,-54.501520301570636,-54.501520301570636,-54.50152030157165,-54.50152030157165,5.7196958832250955,5.7196958832250955,3.0269051985970066,3.0269051985970066,1.4052317310205578e-07,5.609661335550677e-07,959,959,295,295,37.72140205021714,37.72140205021728,37.64579996535306,37.64579996535287,5567221104143532.0,1321252687015148.8,127.0,119.0,3712964849601451.0,1133105275194282.8,293.0,273.0
7,qubit_tc_N_vmc_gpcc_again_8.data,-54.5255650264316,-54.5255650264316,-54.525565026430876,-54.525565026430876,6.976118633618713,6.976118633618713,4.579060659678343,4.579060659678343,7.026555583443314e-08,5.60605239040073e-07,959,959,295,295,37.723533043018776,37.72353304301904,37.62158074442753,37.62158074442775,6793888466514719.0,1998772939241584.2,129.0,119.0,4543529559532684.0,1714146115749207.5,301.0,273.0
8,qubit_tc_N_vmc_gpcc_again_9.data,-54.49701574428972,-54.49701574428972,-54.4970157442887,-54.4970157442887,8.41524868680584,8.41524868680584,3.540008580877918,3.540008580877918,7.024615320961526e-08,5.608964155073183e-07,959,959,295,295,37.713116338138036,37.71311633813787,37.64112126636799,37.64112126636812,8195425565245362.0,1545223765749112.8,129.0,119.0,5480831557975870.0,1325182697854236.8,301.0,273.0
9,qubit_tc_N_vmc_gpcc_again_10.data,-54.501992595815686,-54.501992595815686,-54.50199259581404,-54.50199259581404,15.794324221231252,15.794324221231252,6.065682634867105,6.065682634867105,3.511326417729556e-08,2.802978834960868e-07,959,959,295,295,37.70258032432332,37.70258032432319,37.620945086053375,37.62094508605347,1.5390208246278862e+16,2650937921985373.0,131.0,121.0,1.0320659408159298e+16,2283655987538345.0,309.0,281.0
